date,store_id,item_id,units_sold,is_promo,is_holiday,day_of_week,is_weekend,true_anomaly
2022-07-04,1,1,72.3,0,1,0,0,0
2022-07-05,1,1,56.2,0,0,1,0,0
2022-07-06,1,1,67.7,0,0,2,0,0
2022-07-07,1,1,79.0,0,0,3,0,0
2022-07-08,1,1,54.5,0,0,4,0,0
2022-07-09,1,1,69.4,0,0,5,1,0
2022-07-10,1,1,45.8,0,0,6,1,0
2022-07-11,1,1,61.9,0,0,0,0,0
2022-07-12,1,1,50.5,0,0,1,0,0
2022-07-13,1,1,57.3,0,0,2,0,0
2022-07-14,1,1,95.4,1,0,3,0,0
2022-07-15,1,1,63.1,0,0,4,0,0
2022-07-16,1,1,52.4,0,0,5,1,0
2022-07-17,1,1,57.1,0,0,6,1,0
2022-07-18,1,1,91.9,0,0,0,0,0
2022-07-19,1,1,48.2,0,0,1,0,0
2022-07-20,1,1,50.7,0,0,2,0,0
2022-07-21,1,1,88.7,0,0,3,0,0
2022-07-22,1,1,102.7,0,0,4,0,0
2022-07-23,1,1,62.6,0,0,5,1,0
2022-07-24,1,1,75.8,0,0,6,1,0
2022-07-25,1,1,70.1,0,0,0,0,0
2022-07-26,1,1,88.4,0,0,1,0,0
2022-07-27,1,1,53.1,0,0,2,0,0
2022-07-28,1,1,63.0,0,0,3,0,0
2022-07-29,1,1,76.7,0,0,4,0,0
2022-07-30,1,1,90.5,0,0,5,1,0
2022-07-31,1,1,77.3,0,0,6,1,0
2022-08-01,1,1,117.5,1,0,0,0,0
2022-08-02,1,1,48.9,0,0,1,0,0
2022-08-03,1,1,64.3,0,0,2,0,0
2022-08-04,1,1,64.2,0,0,3,0,0
2022-08-05,1,1,71.2,0,0,4,0,0
2022-08-06,1,1,76.0,0,0,5,1,0
2022-08-07,1,1,93.7,0,0,6,1,0
2022-08-08,1,1,82.7,0,0,0,0,0
2022-08-09,1,1,71.3,0,0,1,0,0
2022-08-10,1,1,74.3,0,0,2,0,0
2022-08-11,1,1,70.5,0,0,3,0,0
2022-08-12,1,1,70.0,0,0,4,0,0
2022-08-13,1,1,75.3,0,0,5,1,0
2022-08-14,1,1,93.9,0,0,6,1,0
2022-08-15,1,1,69.6,0,0,0,0,0
2022-08-16,1,1,101.0,0,0,1,0,0
2022-08-17,1,1,94.0,0,0,2,0,0
2022-08-18,1,1,77.5,0,0,3,0,0
2022-08-19,1,1,61.4,0,0,4,0,0
2022-08-20,1,1,70.8,0,0,5,1,0
2022-08-21,1,1,113.0,0,0,6,1,0
2022-08-22,1,1,77.3,0,0,0,0,0
2022-08-23,1,1,80.9,0,0,1,0,0
2022-08-24,1,1,48.5,0,0,2,0,0
2022-08-25,1,1,88.3,0,0,3,0,0
2022-08-26,1,1,81.7,0,0,4,0,0
2022-08-27,1,1,73.4,0,0,5,1,0
2022-08-28,1,1,85.9,0,0,6,1,0
2022-08-29,1,1,80.2,0,0,0,0,0
2022-08-30,1,1,77.4,0,0,1,0,0
2022-08-31,1,1,72.6,0,0,2,0,0
2022-09-01,1,1,75.9,0,0,3,0,0
2022-09-02,1,1,133.2,1,0,4,0,0
2022-09-03,1,1,100.8,0,0,5,1,0
2022-09-04,1,1,127.2,0,0,6,1,0
2022-09-05,1,1,38.8,0,0,0,0,0
2022-09-06,1,1,75.9,0,0,1,0,0
2022-09-07,1,1,82.9,0,0,2,0,0
2022-09-08,1,1,85.3,0,0,3,0,0
2022-09-09,1,1,75.0,0,0,4,0,0
2022-09-10,1,1,66.3,0,0,5,1,0
2022-09-11,1,1,109.1,0,0,6,1,0
2022-09-12,1,1,110.6,0,0,0,0,0
2022-09-13,1,1,57.6,0,0,1,0,0
2022-09-14,1,1,97.6,0,0,2,0,0
2022-09-15,1,1,78.4,0,0,3,0,0
2022-09-16,1,1,83.3,0,0,4,0,0
2022-09-17,1,1,83.8,0,0,5,1,0
2022-09-18,1,1,99.5,0,0,6,1,0
2022-09-19,1,1,107.9,0,0,0,0,0
2022-09-20,1,1,96.2,0,0,1,0,0
2022-09-21,1,1,116.6,0,0,2,0,0
2022-09-22,1,1,107.7,0,0,3,0,0
2022-09-23,1,1,95.4,0,0,4,0,0
2022-09-24,1,1,148.5,0,0,5,1,0
2022-09-25,1,1,120.6,0,0,6,1,0
2022-09-26,1,1,103.9,0,0,0,0,0
2022-09-27,1,1,84.5,0,0,1,0,0
2022-09-28,1,1,91.5,0,0,2,0,0
2022-09-29,1,1,78.2,0,0,3,0,0
2022-09-30,1,1,109.2,0,0,4,0,0
2022-10-01,1,1,87.9,0,0,5,1,0
2022-10-02,1,1,133.3,0,0,6,1,0
2022-10-03,1,1,89.3,0,0,0,0,0
2022-10-04,1,1,115.1,0,0,1,0,0
2022-10-05,1,1,107.9,0,0,2,0,0
2022-10-06,1,1,128.5,0,0,3,0,0
2022-10-07,1,1,108.7,0,0,4,0,0
2022-10-08,1,1,82.0,0,0,5,1,0
2022-10-09,1,1,118.3,0,0,6,1,0
2022-10-10,1,1,74.0,0,0,0,0,0
2022-10-11,1,1,87.0,0,0,1,0,0
2022-10-12,1,1,126.7,0,0,2,0,0
2022-10-13,1,1,110.4,0,0,3,0,0
2022-10-14,1,1,84.8,0,0,4,0,0
2022-10-15,1,1,98.9,0,0,5,1,0
2022-10-16,1,1,125.2,0,0,6,1,0
2022-10-17,1,1,75.9,0,0,0,0,0
2022-10-18,1,1,87.1,0,0,1,0,0
2022-10-19,1,1,107.3,0,0,2,0,0
2022-10-20,1,1,124.8,0,0,3,0,0
2022-10-21,1,1,114.4,0,0,4,0,0
2022-10-22,1,1,69.9,0,0,5,1,0
2022-10-23,1,1,136.6,0,0,6,1,0
2022-10-24,1,1,105.0,0,0,0,0,0
2022-10-25,1,1,112.6,0,0,1,0,0
2022-10-26,1,1,138.1,0,0,2,0,0
2022-10-27,1,1,62.0,0,0,3,0,0
2022-10-28,1,1,167.6,1,0,4,0,0
2022-10-29,1,1,148.0,0,0,5,1,0
2022-10-30,1,1,91.3,0,0,6,1,0
2022-10-31,1,1,138.3,0,0,0,0,0
2022-11-01,1,1,115.3,0,0,1,0,0
2022-11-02,1,1,126.0,0,0,2,0,0
2022-11-03,1,1,96.1,0,0,3,0,0
2022-11-04,1,1,126.4,0,0,4,0,0
2022-11-05,1,1,165.6,0,0,5,1,0
2022-11-06,1,1,143.5,0,0,6,1,0
2022-11-07,1,1,115.3,0,0,0,0,0
2022-11-08,1,1,116.6,0,0,1,0,0
2022-11-09,1,1,92.0,0,0,2,0,0
2022-11-10,1,1,108.2,0,0,3,0,0
2022-11-11,1,1,108.5,0,0,4,0,0
2022-11-12,1,1,151.1,0,0,5,1,0
2022-11-13,1,1,169.0,0,0,6,1,0
2022-11-14,1,1,89.4,0,0,0,0,0
2022-11-15,1,1,110.8,0,0,1,0,0
2022-11-16,1,1,147.6,0,0,2,0,0
2022-11-17,1,1,97.5,0,0,3,0,0
2022-11-18,1,1,96.1,0,0,4,0,0
2022-11-19,1,1,149.8,0,0,5,1,0
2022-11-20,1,1,168.7,0,0,6,1,0
2022-11-21,1,1,116.2,0,0,0,0,0
2022-11-22,1,1,147.0,0,0,1,0,0
2022-11-23,1,1,136.6,0,0,2,0,0
2022-11-24,1,1,218.6,0,1,3,0,0
2022-11-25,1,1,130.3,0,0,4,0,0
2022-11-26,1,1,215.3,0,0,5,1,0
2022-11-27,1,1,141.6,0,0,6,1,0
2022-11-28,1,1,71.3,0,0,0,0,0
2022-11-29,1,1,156.6,0,0,1,0,0
2022-11-30,1,1,108.3,0,0,2,0,0
2022-12-01,1,1,122.0,0,0,3,0,0
2022-12-02,1,1,150.9,0,0,4,0,0
2022-12-03,1,1,102.3,0,0,5,1,0
2022-12-04,1,1,113.0,0,0,6,1,0
2022-12-05,1,1,82.3,0,0,0,0,0
2022-12-06,1,1,101.8,0,0,1,0,0
2022-12-07,1,1,131.7,0,0,2,0,0
2022-12-08,1,1,134.1,0,0,3,0,0
2022-12-09,1,1,128.4,0,0,4,0,0
2022-12-10,1,1,109.7,0,0,5,1,0
2022-12-11,1,1,82.7,0,0,6,1,0
2022-12-12,1,1,123.7,0,0,0,0,0
2022-12-13,1,1,111.2,0,0,1,0,0
2022-12-14,1,1,134.1,0,0,2,0,0
2022-12-15,1,1,140.2,0,0,3,0,0
2022-12-16,1,1,126.7,0,0,4,0,0
2022-12-17,1,1,177.6,0,0,5,1,0
2022-12-18,1,1,161.6,0,0,6,1,0
2022-12-19,1,1,136.9,0,0,0,0,0
2022-12-20,1,1,106.7,0,0,1,0,0
2022-12-21,1,1,119.7,0,0,2,0,0
2022-12-22,1,1,129.2,0,0,3,0,0
2022-12-23,1,1,144.8,0,0,4,0,0
2022-12-24,1,1,143.6,0,0,5,1,0
2022-12-25,1,1,275.3,0,1,6,1,0
2022-12-26,1,1,118.3,0,0,0,0,0
2022-12-27,1,1,122.1,0,0,1,0,0
2022-12-28,1,1,145.7,0,0,2,0,0
2022-12-29,1,1,75.6,0,0,3,0,0
2022-12-30,1,1,93.0,0,0,4,0,0
2022-12-31,1,1,110.6,0,0,5,1,0
2023-01-01,1,1,134.6,0,1,6,1,0
2023-01-02,1,1,108.6,0,0,0,0,0
2023-01-03,1,1,144.2,0,0,1,0,0
2023-01-04,1,1,118.5,0,0,2,0,0
2023-01-05,1,1,130.5,0,0,3,0,0
2023-01-06,1,1,152.8,0,0,4,0,0
2023-01-07,1,1,198.5,0,0,5,1,0
2023-01-08,1,1,154.9,0,0,6,1,0
2023-01-09,1,1,159.5,0,0,0,0,0
2023-01-10,1,1,128.0,0,0,1,0,0
2023-01-11,1,1,104.8,0,0,2,0,0
2023-01-12,1,1,110.8,0,0,3,0,0
2023-01-13,1,1,88.7,0,0,4,0,0
2023-01-14,1,1,129.3,0,0,5,1,0
2023-01-15,1,1,145.7,0,0,6,1,0
2023-01-16,1,1,145.5,0,0,0,0,0
2023-01-17,1,1,168.2,0,0,1,0,0
2023-01-18,1,1,90.9,0,0,2,0,0
2023-01-19,1,1,135.0,0,0,3,0,0
2023-01-20,1,1,99.3,0,0,4,0,0
2023-01-21,1,1,171.0,0,0,5,1,0
2023-01-22,1,1,273.8,1,0,6,1,0
2023-01-23,1,1,79.4,0,0,0,0,0
2023-01-24,1,1,147.7,0,0,1,0,0
2023-01-25,1,1,109.6,0,0,2,0,0
2023-01-26,1,1,111.2,0,0,3,0,0
2023-01-27,1,1,97.9,0,0,4,0,0
2023-01-28,1,1,135.0,0,0,5,1,0
2023-01-29,1,1,168.1,0,0,6,1,0
2023-01-30,1,1,119.1,0,0,0,0,0
2023-01-31,1,1,237.0,1,0,1,0,0
2023-02-01,1,1,132.3,0,0,2,0,0
2023-02-02,1,1,155.5,0,0,3,0,0
2023-02-03,1,1,114.6,0,0,4,0,0
2023-02-04,1,1,108.5,0,0,5,1,0
2023-02-05,1,1,185.7,0,0,6,1,0
2023-02-06,1,1,114.3,0,0,0,0,0
2023-02-07,1,1,149.1,0,0,1,0,0
2023-02-08,1,1,131.1,0,0,2,0,0
2023-02-09,1,1,118.4,0,0,3,0,0
2023-02-10,1,1,129.7,0,0,4,0,0
2023-02-11,1,1,210.0,0,0,5,1,0
2023-02-12,1,1,213.3,0,0,6,1,0
2023-02-13,1,1,122.2,0,0,0,0,0
2023-02-14,1,1,124.1,0,0,1,0,0
2023-02-15,1,1,145.6,0,0,2,0,0
2023-02-16,1,1,99.6,0,0,3,0,0
2023-02-17,1,1,127.2,0,0,4,0,0
2023-02-18,1,1,148.0,0,0,5,1,0
2023-02-19,1,1,157.6,0,0,6,1,0
2023-02-20,1,1,98.8,0,0,0,0,0
2023-02-21,1,1,80.8,0,0,1,0,0
2023-02-22,1,1,69.3,0,0,2,0,0
2023-02-23,1,1,91.3,0,0,3,0,0
2023-02-24,1,1,106.4,0,0,4,0,0
2023-02-25,1,1,137.3,0,0,5,1,0
2023-02-26,1,1,201.3,0,0,6,1,0
2023-02-27,1,1,141.4,0,0,0,0,0
2023-02-28,1,1,93.5,0,0,1,0,0
2023-03-01,1,1,123.1,0,0,2,0,0
2023-03-02,1,1,105.5,0,0,3,0,0
2023-03-03,1,1,108.0,0,0,4,0,0
2023-03-04,1,1,147.8,0,0,5,1,0
2023-03-05,1,1,159.5,0,0,6,1,0
2023-03-06,1,1,105.6,0,0,0,0,0
2023-03-07,1,1,136.6,0,0,1,0,0
2023-03-08,1,1,156.4,1,0,2,0,0
2023-03-09,1,1,112.1,0,0,3,0,0
2023-03-10,1,1,169.1,0,0,4,0,0
2023-03-11,1,1,145.1,0,0,5,1,0
2023-03-12,1,1,177.8,0,0,6,1,0
2023-03-13,1,1,112.3,0,0,0,0,0
2023-03-14,1,1,122.5,0,0,1,0,0
2023-03-15,1,1,108.2,0,0,2,0,0
2023-03-16,1,1,105.3,0,0,3,0,0
2023-03-17,1,1,91.7,0,0,4,0,0
2023-03-18,1,1,146.6,0,0,5,1,0
2023-03-19,1,1,111.8,0,0,6,1,0
2023-03-20,1,1,121.3,0,0,0,0,0
2023-03-21,1,1,129.7,0,0,1,0,0
2023-03-22,1,1,114.0,0,0,2,0,0
2023-03-23,1,1,99.8,0,0,3,0,0
2023-03-24,1,1,114.8,0,0,4,0,0
2023-03-25,1,1,123.0,0,0,5,1,0
2023-03-26,1,1,154.7,0,0,6,1,0
2023-03-27,1,1,66.1,0,0,0,0,0
2023-03-28,1,1,96.5,0,0,1,0,0
2023-03-29,1,1,62.2,0,0,2,0,0
2023-03-30,1,1,72.0,0,0,3,0,0
2023-03-31,1,1,129.6,0,0,4,0,0
2023-04-01,1,1,149.4,0,0,5,1,0
2023-04-02,1,1,108.2,0,0,6,1,0
2023-04-03,1,1,70.5,0,0,0,0,0
2023-04-04,1,1,41.2,0,0,1,0,0
2023-04-05,1,1,88.8,0,0,2,0,0
2023-04-06,1,1,146.7,0,0,3,0,0
2023-04-07,1,1,107.1,0,0,4,0,0
2023-04-08,1,1,109.0,0,0,5,1,0
2023-04-09,1,1,133.3,0,0,6,1,0
2023-04-10,1,1,67.0,0,0,0,0,0
2023-04-11,1,1,91.0,0,0,1,0,0
2023-04-12,1,1,98.1,0,0,2,0,0
2023-04-13,1,1,94.1,0,0,3,0,0
2023-04-14,1,1,110.2,0,0,4,0,0
2023-04-15,1,1,126.6,0,0,5,1,0
2023-04-16,1,1,133.5,0,0,6,1,0
2023-04-17,1,1,81.0,0,0,0,0,0
2023-04-18,1,1,110.0,0,0,1,0,0
2023-04-19,1,1,122.9,0,0,2,0,0
2023-04-20,1,1,74.6,0,0,3,0,0
2023-04-21,1,1,75.7,0,0,4,0,0
2023-04-22,1,1,260.3,1,0,5,1,0
2023-04-23,1,1,109.4,0,0,6,1,0
2023-04-24,1,1,115.7,0,0,0,0,0
2023-04-25,1,1,147.9,1,0,1,0,0
2023-04-26,1,1,115.5,0,0,2,0,0
2023-04-27,1,1,91.5,0,0,3,0,0
2023-04-28,1,1,93.2,0,0,4,0,0
2023-04-29,1,1,144.6,0,0,5,1,0
2023-04-30,1,1,183.3,1,0,6,1,0
2023-05-01,1,1,71.0,0,0,0,0,0
2023-05-02,1,1,142.5,1,0,1,0,0
2023-05-03,1,1,94.2,0,0,2,0,0
2023-05-04,1,1,59.3,0,0,3,0,0
2023-05-05,1,1,96.5,0,0,4,0,0
2023-05-06,1,1,95.1,0,0,5,1,0
2023-05-07,1,1,130.1,0,0,6,1,0
2023-05-08,1,1,44.3,0,0,0,0,0
2023-05-09,1,1,70.8,0,0,1,0,0
2023-05-10,1,1,55.6,0,0,2,0,0
2023-05-11,1,1,69.5,0,0,3,0,0
2023-05-12,1,1,86.8,0,0,4,0,0
2023-05-13,1,1,99.3,0,0,5,1,0
2023-05-14,1,1,97.3,0,0,6,1,0
2023-05-15,1,1,79.0,0,0,0,0,0
2023-05-16,1,1,84.5,0,0,1,0,0
2023-05-17,1,1,64.7,0,0,2,0,0
2023-05-18,1,1,91.8,0,0,3,0,0
2023-05-19,1,1,90.7,0,0,4,0,0
2023-05-20,1,1,107.3,0,0,5,1,0
2023-05-21,1,1,110.2,0,0,6,1,0
2023-05-22,1,1,83.7,0,0,0,0,0
2023-05-23,1,1,110.6,0,0,1,0,0
2023-05-24,1,1,77.1,0,0,2,0,0
2023-05-25,1,1,73.3,0,0,3,0,0
2023-05-26,1,1,66.1,0,0,4,0,0
2023-05-27,1,1,77.0,0,0,5,1,0
2023-05-28,1,1,72.6,0,0,6,1,0
2023-05-29,1,1,63.3,0,0,0,0,0
2023-05-30,1,1,75.5,0,0,1,0,0
2023-05-31,1,1,81.4,0,0,2,0,0
2023-06-01,1,1,76.8,0,0,3,0,0
2023-06-02,1,1,64.2,0,0,4,0,0
2023-06-03,1,1,111.2,0,0,5,1,0
2023-06-04,1,1,107.9,0,0,6,1,0
2023-06-05,1,1,72.6,0,0,0,0,0
2023-06-06,1,1,65.1,0,0,1,0,0
2023-06-07,1,1,82.7,0,0,2,0,0
2023-06-08,1,1,77.1,0,0,3,0,0
2023-06-09,1,1,52.8,0,0,4,0,0
2023-06-10,1,1,91.1,0,0,5,1,0
2023-06-11,1,1,96.9,0,0,6,1,0
2023-06-12,1,1,60.4,0,0,0,0,0
2023-06-13,1,1,76.1,0,0,1,0,0
2023-06-14,1,1,52.0,0,0,2,0,0
2023-06-15,1,1,92.4,0,0,3,0,0
2023-06-16,1,1,90.9,0,0,4,0,0
2023-06-17,1,1,86.3,0,0,5,1,0
2023-06-18,1,1,175.0,1,0,6,1,0
2023-06-19,1,1,37.8,0,0,0,0,0
2023-06-20,1,1,55.7,0,0,1,0,0
2023-06-21,1,1,68.0,0,0,2,0,0
2023-06-22,1,1,56.7,0,0,3,0,0
2023-06-23,1,1,82.2,0,0,4,0,0
2023-06-24,1,1,125.5,0,0,5,1,0
2023-06-25,1,1,68.8,0,0,6,1,0
2023-06-26,1,1,59.8,0,0,0,0,0
2023-06-27,1,1,75.0,0,0,1,0,0
2023-06-28,1,1,94.6,0,0,2,0,0
2023-06-29,1,1,54.2,0,0,3,0,0
2023-06-30,1,1,135.2,1,0,4,0,0
2023-07-01,1,1,121.8,0,0,5,1,0
2023-07-02,1,1,60.1,0,0,6,1,0
2023-07-03,1,1,53.3,0,0,0,0,0
2023-07-04,1,1,104.8,0,1,1,0,0
2023-07-05,1,1,64.1,0,0,2,0,0
2023-07-06,1,1,83.1,0,0,3,0,0
2023-07-07,1,1,75.0,0,0,4,0,0
2023-07-08,1,1,58.0,0,0,5,1,0
2023-07-09,1,1,98.8,0,0,6,1,0
2023-07-10,1,1,114.3,1,0,0,0,0
